Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,CU18,NZDep2018
4,2.0,523.0,1225000,-36.911034,174.7241676,7007593,24,15,12,12,18,33,26,123,4.0
3,1.0,616.0,985000,-36.8813662,174.7009228,7004492,42,51,45,33,15,12,4,198,4.0
4,2.0,1012.0,960000,-37.2203656,174.894608,7010519,24,12,9,12,24,27,13,108,2.0
4,3.0,600.0,820000,-37.0520531,174.8876043,7009719,57,18,30,18,24,39,6,186,6.0
3,1.0,120.0,780000,-37.0000106,174.900693,7009752,72,27,42,36,21,36,4,231,4.0
3,2.0,703.0,1380000,-36.887670799999995,174.89325669999997,7006719,54,21,27,36,24,60,4,216,2.0
4,2.0,984.0,720000,-37.020317,174.9003727,7009781,39,27,21,24,21,21,37,150,5.0
3,2.0,386.0,540000,-36.848476700000006,174.6098376,7003657,36,33,27,15,15,15,15,144,9.0
4,3.0,222.0,1800000,-36.8736187,174.782018,7005727,18,42,33,9,12,15,59,129,5.0
3,2.0,170.0,940000,-36.8780671,174.7776435,7005577,21,21,21,9,15,6,23,90,6.0
3,2.0,400.0,940000,-36.788751700000006,174.69266090000002,7002422,60,18,42,39,24,33,6,210,4.0
3,1.0,152.0,1160000,-36.8725755,174.8199281,7006072,72,15,33,33,24,48,59,219,1.0
3,3.0,922.0,1650000,-36.8113451,174.71582800000002,7004545,30,30,27,27,24,48,2,189,6.0
4,3.0,428.0,960000,-36.6170889,174.7922216,7001695,60,15,21,33,33,63,9,225,6.0
4,1.0,5088.0,1900000,-36.6083432,174.8071064,7001715,36,6,9,18,33,39,3,141,1.0
4,3.0,523.0,570000,-37.2380653,175.012596,7011028,9,18,12,6,21,18,1,87,1.0
4,2.0,507.0,850000,-37.257721999999994,174.9388626,7010975,72,27,18,24,27,6,7,177,8.0
2,1.0,70.0,670000,-36.898975899999996,174.9106721,7006853,33,18,12,12,21,33,9,132,7.0
3,2.0,167.0,1650000,-36.8728739,174.8072187,7005981,39,12,12,24,21,24,59,123,2.0
4,2.0,956.0,990000,-36.902183,174.7117372,7004659,66,60,42,30,24,24,10,255,7.0
3,1.0,822.0,990000,-36.773546200000006,174.7230032,7002759,27,15,33,15,9,15,6,117,6.0
4,1.0,613.0,650000,-37.0279286,174.86182230000003,7009491,96,27,42,15,15,24,5,219,10.0
2,1.0,814.0,750000,-36.8458463,174.60943480000003,7003531,45,36,30,27,18,21,15,171,9.0
3,1.0,718.0,650000,-36.954143,174.83870280000002,7008379,66,48,36,30,21,36,10,240,10.0
3,1.0,1358.0,1820000,-36.8788108,174.69515019999997,7004376,33,21,33,36,30,21,4,174,2.0
2,1.0,365.0,1175000,-36.8953984,174.7989407,7005916,30,42,33,12,6,24,4,141,6.0
3,2.0,314.0,1140000,-36.89394,174.84338449999998,7006363,48,15,30,36,9,21,18,159,5.0
4,2.0,872.0,1245000,-36.8842814,175.0094947,7007062,48,3,15,30,12,9,6,105,1.0
3,2.0,388.0,680000,-36.8218485,174.6252384,7003777,39,30,21,15,15,9,7,129,8.0
5,3.0,416.0,2300000,-36.8603424,174.8532553,7006416,48,12,24,30,18,39,29,177,3.0
4,3.0,254.0,2175000,-36.8846936,174.7175628,7004622,36,21,24,30,18,24,9,147,5.0
4,3.0,254.0,2775000,-36.8846936,174.7175628,7004622,36,21,24,30,18,24,9,147,5.0
6,3.0,602.0,6400000,-36.8699368,174.78892050000002,7005846,36,6,6,18,21,30,59,129,1.0
